"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
3875320,191,88076000000,71552000000,"Croatia",22727.413478112776,"Europe",74
4515580,591,87347000000,76522500000,"Panama",19343.473042222704,"North America",75
31934200,384,86911000000,70018700000,"Ivory Coast",2721.564967965379,"Africa",76
3386590,858,82605000000,71171100000,"Uruguay",24391.792333881574,"South America",77
7494500,795,81896000000,67009500000,"Turkmenistan",10927.480152111548,"Asia",78
6736220,688,81873000000,63563400000,"Serbia",12154.145796900933,"Europe",79
2859110,440,81170000000,70878100000,"Lithuania",28389.95351700354,"Europe",80
68560200,834,79605000000,0,"Tanzania",1161.0963795321484,"Africa",81
10336600,31,78749000000,78721100000,"Azerbaijan",7618.4625505485365,"Asia",82
34427400,288,75244000000,73766100000,"Ghana",2185.5847377379646,"Africa",83
109276000,180,73761000000,62551800000,"DR Congo",674.9972546579304,"Africa",84
2118700,705,72101000000,59981900000,"Slovenia",34030.773587577285,"Europe",85
9056700,112,69048000000,72873900000,"Belarus",7623.968995329425,"Europe",86
54500100,104,68006000000,65211900000,"Myanmar",1247.814224194084,"Asia",87
50015100,800,56310000000,48243500000,"Uganda",1125.8599902829346,"Africa",88
12277100,788,54708000000,46181200000,"Tunisia",4456.1011965366415,"Africa",89
720262,446,54677000000,24042300000,"Macau",75912.65400645876,"Asia",90
11552900,400,53570000000,47452100000,"Jordan",4636.930987024903,"Asia",91
29123700,120,53205000000,44341600000,"Cameroon",1826.8626582474067,"Africa",92
12413300,68,49334000000,44008300000,"Bolivia",3974.2856452353526,"South America",93
7381020,434,48221000000,40537100000,"Libya",6533.107890237393,"Africa",94
1607050,48,46790000000,44382700000,"Bahrain",29115.460004355806,"Asia",95
6929150,600,45817000000,41722300000,"Paraguay",6612.210732918179,"South America",96
1871870,428,45466000000,40876400000,"Latvia",24289.079904053167,"Europe",97
17638800,116,45150000000,29504800000,"Cambodia",2559.6979386352814,"Asia",98
29651100,524,44179000000,39406700000,"Nepal",1489.9615865853207,"Asia",99
1360550,233,43486000000,38049100000,"Estonia",31962.074161184813,"Europe",100
10825700,340,37355000000,31717700000,"Honduras",3450.5851815586984,"North America",101
18502000,686,35450000000,27775900000,"Senegal",1916.0090800994487,"Africa",102
6338190,222,35333000000,32488700000,"El Salvador",5574.619883594528,"North America",103
16634400,716,34405000000,26418600000,"Zimbabwe",2068.3042370028375,"Africa",104
